"1,texto"
"1,propongo sueo venda mate amarillo compr da primavera banquemos arreglo auto carolina venezolana qued trabajo protege mafia taxi"
"0,defensadeltaxi xf0x9fx98xa9xf0x9fx98xa9un dia histxc3x93rico xf0x9fx98xa1xf0x9fx98xa1npor favor engaxc3x91en ncon mxc3x81s dia gratis nmira mira mejorentaxi taxiespaa gobierno vtc deleteuber consumo cabify defiendeespana estafacabifyuber licenciaurbanasi taxienlucha 1vtc30taxis felizjueves"
"1,critican presidente buscar hija auto ah helicptero acto oficial entrevistan pikietto expropio ciccone esconder boudou cfk usaba aviones llevar coima calafate nson completos"
"0,vergonzosa forma repiti historia contada crnica escrita redaccin cada medio realmente haba solo elemento constatado fatal"
"1,parece actores haba hoy manifestacin patronal vtcs pro cabify dado tiempo estudiar papelxf0x9fxa4xa6npd carteles hechos departamento marketing quedado chulos xf0x9fx91x8c taxienlucha licenciaurbanasi"
"1,risa novio cuenta cuenta funciona siempre hago viajes bien checad"
"0,seora vernica cantando carretera perdida buitres siento auto ta xe2x80x99"
"0,cabify necesitan ofertar servicios gratis disimular nefasta conduccin conductores nulo conocimiento calles enelfuturocabemostodos slo verdaderos profesionales quedaremos vivaeltaxi"
"1,pablo antillano gran tiponcon historia grande periodismo sueos venezuela siemprennecesario ayudarlo hoynme sumo nxf0x9fx91x87"
"1,colombia mujer amante pidieron hotel chofer esposo xe2x96xba"
"0,imaginad toda tecnologa puntaxe2x80x9d aplicada vehculo autnomo conductor xf0x9fx98x82xf0x9fx98x82xf0x9fx98x82"
"0,siempre critican digo hicieron demasiado chongo da van violar ahi va pen"
"1,pensar chofer nia literal anda 80tera rolas inspiradoras xf0x9fxa4x94"
"0,enelfururocabemostodos haciadondenosmovemosn poderelegir cabify persona selecto salido exhaustivas pruebas licenciaurbanaya"
"1,caza fenmeno sindicalismo argentino"
"0,nuevo ataque quemacoches auto acusaron literalmente dejado calle medio laburo nico ingreso"
"0,manera cil pida sentirte millonario chofer personal aqu voy asiento atr usando celular suave rato bajo toca manejar meterme fico comer mierda"
"0,enelfuturocabemostodos taxienlucha nomasprecariedadnnxf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91xf0x9fx9bx91nnimportantes anuncios portavoz conductores vtc cabifynnrogamos paciencia vdeo extenso detallista conceptos"
"0,pedo ahora darles pinch propinas"
"0,manda llegue tenes idea carajo toyota corolla"
"1,empresa responsable aplicacin mostr inters cumplir requisitos legales tributarios"
"0,impiden mujer viaje perro gua chofer ganaxe2x80x9d nnva lucero rquez"
"1,chevrolet beat activ moderno divertido atractivo slo est diseo exterior interior igual increble"
"0,tremenda sorpresa mujer amante piden buscar marido"
"1,tierno banderita colapso castellana acompaando 000 peseta ma solo grito solito aunque juntes sencillamente puedes vete jugar play taxienlucha enelfuturocabemostodos"
"1,defensadeltaxi viene tan lejos bebido agua colmo lleva bebxc3x89 nmira mira mejorentaxi taxiespaa gobierno vtc deleteuber consumo cabify defiendeespana estafacabifyuber licenciaurbanasi taxienlucha 1vtc30taxis felizmiercoles"
"0,voy dar consejo djelos griten piten usted suba vidrios ponga msica cante feliz xe2x80x9dn conductor xc3x89l dijo fico creo aplica vida"
"1,fboschsendra derecho trabajo obvio"
"1,tendencias iba motel amante conductor recogi esposonn"
"1,yuiso veces cabify"
"0,ped seora limpia casa cuida hija vuelva casa vino conductora venezolana transaccin anti paro anti anti patriarcado anti chavista hice vida"
"1,empresas cabify llevan toda riqueza mediante cticas elusin fiscal mientras precarizan trabajo uberizacin economa empobrece destruye derechos laborales trabajadores trabajadoras enelfuturonocabenbuitres"
"1,tambin taxi sitio dado tipo servicio siempre"
"0,tratar medios instale crdoba va"
"0,chofercabify derecho trabajo"
"1,345 baratos caen nconductores baratos saben circular orientarse nno preocuparse tambin baratos cobrar servicios realizados cabify estafacabifyuber quejasvtc"
"0,van lograr simpatice bol trabajaban bien poca yegua puteaban da ahora bancan malaria salen quemarle auto pobres tipos cagados hambre"
"1,cronicaglobal derecho trabajo obvio nadie niega"
